name,float_min,float_max,source
AK-47 | Elite Build,0.0,1.0,csgo_api_github
★ Karambit | Tiger Tooth,0.0,0.08,csgo_api_github
★ Karambit | Rust Coat,0.4,1.0,csgo_api_github
★ Karambit | Ultraviolet,0.06,0.8,csgo_api_github
★ M9 Bayonet | Doppler (Phase 1),0.06,0.8,default_estimate
★ M9 Bayonet | Doppler (Phase 2),0.06,0.8,default_estimate
★ M9 Bayonet | Doppler (Phase 3),0.06,0.8,default_estimate
★ M9 Bayonet | Doppler (Phase 4),0.06,0.8,default_estimate
★ M9 Bayonet | Doppler (Black Pearl),0.06,0.8,default_estimate
★ M9 Bayonet | Doppler (Ruby),0.06,0.8,default_estimate
★ M9 Bayonet | Doppler (Sapphire),0.06,0.8,default_estimate
★ M9 Bayonet | Damascus Steel,0.0,0.5,csgo_api_github
★ M9 Bayonet | Marble Fade,0.0,0.08,csgo_api_github
★ M9 Bayonet | Tiger Tooth,0.0,0.08,csgo_api_github
★ M9 Bayonet | Rust Coat,0.4,1.0,csgo_api_github
★ M9 Bayonet | Ultraviolet,0.06,0.8,csgo_api_github
Dual Berettas | Ventilators,0.0,0.45,csgo_api_github
G3SG1 | Orange Crash,0.0,0.52,csgo_api_github
M249 | Spectre,0.0,0.5,csgo_api_github
MP9 | Bioleak,0.0,0.5,csgo_api_github
P2000 | Oceanic,0.0,0.6,csgo_api_github
SG 553 | Atlas,0.0,0.81,csgo_api_github
Sawed-Off | Fubar,0.4,1.0,csgo_api_github
Galil AR | Firefight,0.0,1.0,csgo_api_github
CZ75-Auto | Red Astor,0.0,1.0,csgo_api_github
XM1014 | Black Tie,0.0,0.75,csgo_api_github
SSG 08 | Ghost Crusader,0.0,1.0,csgo_api_github
Tec-9 | Re-Entry,0.0,0.43,csgo_api_github
UMP-45 | Primal Saber,0.0,0.77,csgo_api_github
P250 | Asiimov,0.1,1.0,csgo_api_github
AUG | Fleet Flock,0.0,1.0,csgo_api_github
M4A1-S | Chantico's Fire,0.0,0.99,csgo_api_github
PP-Bizon | Judgement of Anubis,0.0,0.5,csgo_api_github
Glock-18 | Catacombs,0.0,0.5,csgo_api_github
M249 | System Lock,0.0,0.8,csgo_api_github
MP9 | Deadly Poison,0.0,1.0,csgo_api_github
SCAR-20 | Grotto,0.0,0.5,csgo_api_github
XM1014 | Quicksilver,0.0,0.5,csgo_api_github
Dual Berettas | Urban Shock,0.0,0.47,csgo_api_github
Desert Eagle | Naga,0.0,1.0,csgo_api_github
MAC-10 | Malachite,0.0,0.5,csgo_api_github
Sawed-Off | Serenity,0.0,0.5,csgo_api_github
AK-47 | Cartel,0.0,0.75,csgo_api_github
M4A4 | 龍王 (Dragon King),0.0,0.75,csgo_api_github
P250 | Muertos,0.0,0.6,csgo_api_github
AWP | Man-o'-war,0.1,0.2,csgo_api_github
Galil AR | Chatterbox,0.35,0.85,csgo_api_github
M4A4 | Neo-Noir,0.0,0.9,csgo_api_github
MP7 | Bloodsport,0.0,0.65,csgo_api_github
AWP | Mortis,0.0,0.64,csgo_api_github
USP-S | Cortex,0.0,1.0,csgo_api_github
AUG | Stymphalian,0.0,0.63,csgo_api_github
Glock-18 | Moonrise,0.0,0.65,csgo_api_github
UMP-45 | Arctic Wolf,0.0,0.8,csgo_api_github
MAG-7 | SWAG-7,0.0,0.92,csgo_api_github
Negev | Lionfish,0.0,0.55,csgo_api_github
Nova | Wild Six,0.0,0.8,csgo_api_github
R8 Revolver | Grip,0.0,1.0,csgo_api_github
P2000 | Urban Hazard,0.0,1.0,csgo_api_github
MP9 | Black Sand,0.0,1.0,csgo_api_github
Five-SeveN | Flame Test,0.0,0.65,csgo_api_github
SG 553 | Aloha,0.0,0.55,csgo_api_github
PP-Bizon | Night Riot,0.0,0.8,csgo_api_github
XM1014 | Oxide Blaze,0.0,0.7,csgo_api_github
★ Hydra Gloves | Emerald,0.06,0.8,csgo_api_github
★ Hydra Gloves | Case Hardened,0.06,0.8,csgo_api_github
★ Hydra Gloves | Rattler,0.06,0.8,csgo_api_github
★ Hydra Gloves | Mangrove,0.06,0.8,csgo_api_github
★ Driver Gloves | Racing Green,0.06,0.8,csgo_api_github
★ Driver Gloves | Overtake,0.06,0.8,csgo_api_github
★ Driver Gloves | King Snake,0.06,0.8,csgo_api_github
★ Driver Gloves | Imperial Plaid,0.06,0.8,csgo_api_github
★ Hand Wraps | Duct Tape,0.06,0.8,csgo_api_github
★ Hand Wraps | Cobalt Skulls,0.06,0.8,csgo_api_github
★ Hand Wraps | Overprint,0.06,0.8,csgo_api_github
★ Hand Wraps | Arboreal,0.06,0.8,csgo_api_github
★ Moto Gloves | Transport,0.06,0.8,csgo_api_github
★ Moto Gloves | Polygon,0.06,0.8,csgo_api_github
★ Moto Gloves | POW!,0.06,0.8,csgo_api_github
★ Moto Gloves | Turtle,0.06,0.8,csgo_api_github
★ Specialist Gloves | Fade,0.06,0.8,csgo_api_github
★ Specialist Gloves | Buckshot,0.06,0.8,csgo_api_github
★ Specialist Gloves | Crimson Web,0.06,0.8,csgo_api_github
★ Specialist Gloves | Mogul,0.06,0.8,csgo_api_github
★ Sport Gloves | Bronze Morph,0.06,0.8,csgo_api_github
★ Sport Gloves | Amphibious,0.06,0.8,csgo_api_github
★ Sport Gloves | Vice,0.06,0.8,csgo_api_github
★ Sport Gloves | Omega,0.06,0.8,csgo_api_github
SCAR-20 | Assault,0.0,0.62,csgo_api_github
Tec-9 | Flash Out,0.0,0.7,csgo_api_github
MAG-7 | Popdog,0.0,0.8,csgo_api_github
MAC-10 | Classic Crate,0.0,1.0,csgo_api_github
Dual Berettas | Elite 1.6,0.0,0.7,csgo_api_github
FAMAS | Decommissioned,0.0,1.0,csgo_api_github
Glock-18 | Sacrifice,0.0,1.0,csgo_api_github
M249 | Aztec,0.0,0.75,csgo_api_github
Five-SeveN | Buddy,0.0,0.55,csgo_api_github
P250 | Inferno,0.0,0.68,csgo_api_github
UMP-45 | Plastique,0.0,0.8,csgo_api_github
MP5-SD | Agent,0.0,1.0,csgo_api_github
P90 | Nostalgia,0.0,0.57,csgo_api_github
AUG | Death by Puppy,0.0,0.4,csgo_api_github
MP9 | Hydra,0.0,1.0,csgo_api_github
FAMAS | Commemoration,0.0,0.5,csgo_api_github
AWP | Wildfire,0.01,0.7,csgo_api_github
★ Classic Knife,,,csgo_api_github
★ Classic Knife | Blue Steel,0.0,1.0,csgo_api_github
★ Classic Knife | Boreal Forest,0.06,0.8,csgo_api_github
★ Classic Knife | Case Hardened,0.0,1.0,csgo_api_github
★ Classic Knife | Crimson Web,0.06,0.8,csgo_api_github
★ Classic Knife | Fade,0.0,0.08,csgo_api_github
★ Classic Knife | Forest DDPAT,0.06,0.8,csgo_api_github
★ Classic Knife | Night Stripe,0.06,0.8,csgo_api_github
★ Classic Knife | Safari Mesh,0.06,0.8,csgo_api_github
★ Classic Knife | Scorched,0.06,0.8,csgo_api_github
★ Classic Knife | Slaughter,0.01,0.26,csgo_api_github
★ Classic Knife | Stained,0.0,1.0,csgo_api_github
★ Classic Knife | Urban Masked,0.06,0.8,csgo_api_github
MP7 | Skulls,0.1,0.26,csgo_api_github
SG 553 | Ultraviolet,0.06,0.8,csgo_api_github
AUG | Wings,0.0,0.14,csgo_api_github
M4A1-S | Dark Water,0.1,0.26,csgo_api_github
USP-S | Dark Water,0.1,0.26,csgo_api_github
Glock-18 | Dragon Tattoo,0.0,0.08,csgo_api_github
Desert Eagle | Hypnotic,0.0,0.08,csgo_api_github
AK-47 | Case Hardened,0.0,1.0,csgo_api_github
AWP | Lightning Strike,0.0,0.08,csgo_api_github
★ Bayonet,,,csgo_api_github
★ Bayonet | Blue Steel,0.0,1.0,csgo_api_github
★ Bayonet | Boreal Forest,0.06,0.8,csgo_api_github
★ Bayonet | Case Hardened,0.0,1.0,csgo_api_github
★ Bayonet | Crimson Web,0.06,0.8,csgo_api_github
★ Bayonet | Fade,0.0,0.08,csgo_api_github
★ Bayonet | Forest DDPAT,0.06,0.8,csgo_api_github
★ Bayonet | Night,0.06,0.8,csgo_api_github
★ Bayonet | Safari Mesh,0.06,0.8,csgo_api_github
★ Bayonet | Scorched,0.06,0.8,csgo_api_github
★ Bayonet | Slaughter,0.01,0.26,csgo_api_github
★ Bayonet | Stained,0.0,1.0,csgo_api_github
★ Bayonet | Urban Masked,0.06,0.8,csgo_api_github
★ Flip Knife,,,csgo_api_github
★ Flip Knife | Blue Steel,0.0,1.0,csgo_api_github
★ Flip Knife | Boreal Forest,0.06,0.8,csgo_api_github
★ Flip Knife | Case Hardened,0.0,1.0,csgo_api_github
★ Flip Knife | Crimson Web,0.06,0.8,csgo_api_github
★ Flip Knife | Fade,0.0,0.08,csgo_api_github
★ Flip Knife | Forest DDPAT,0.06,0.8,csgo_api_github
★ Flip Knife | Night,0.06,0.8,csgo_api_github
★ Flip Knife | Safari Mesh,0.06,0.8,csgo_api_github
★ Flip Knife | Scorched,0.06,0.8,csgo_api_github
★ Flip Knife | Slaughter,0.01,0.26,csgo_api_github
★ Flip Knife | Stained,0.0,1.0,csgo_api_github
★ Flip Knife | Urban Masked,0.06,0.8,csgo_api_github
★ Gut Knife,,,csgo_api_github
★ Gut Knife | Blue Steel,0.0,1.0,csgo_api_github
★ Gut Knife | Boreal Forest,0.06,0.8,csgo_api_github
★ Gut Knife | Case Hardened,0.0,1.0,csgo_api_github
★ Gut Knife | Crimson Web,0.06,0.8,csgo_api_github
★ Gut Knife | Fade,0.0,0.08,csgo_api_github
★ Gut Knife | Forest DDPAT,0.06,0.8,csgo_api_github
★ Gut Knife | Night,0.06,0.8,csgo_api_github
★ Gut Knife | Safari Mesh,0.06,0.8,csgo_api_github
★ Gut Knife | Scorched,0.06,0.8,csgo_api_github
★ Gut Knife | Slaughter,0.01,0.26,csgo_api_github
★ Gut Knife | Stained,0.0,1.0,csgo_api_github
★ Gut Knife | Urban Masked,0.06,0.8,csgo_api_github
★ Karambit,,,csgo_api_github
★ Karambit | Blue Steel,0.0,1.0,csgo_api_github
★ Karambit | Boreal Forest,0.06,0.8,csgo_api_github
★ Karambit | Case Hardened,0.0,1.0,csgo_api_github
★ Karambit | Crimson Web,0.06,0.8,csgo_api_github
★ Karambit | Fade,0.0,0.08,csgo_api_github
★ Karambit | Forest DDPAT,0.06,0.8,csgo_api_github
★ Karambit | Night,0.06,0.8,csgo_api_github
★ Karambit | Safari Mesh,0.06,0.8,csgo_api_github
★ Karambit | Scorched,0.06,0.8,csgo_api_github
★ Karambit | Slaughter,0.01,0.26,csgo_api_github
★ Karambit | Stained,0.0,1.0,csgo_api_github
★ Karambit | Urban Masked,0.06,0.8,csgo_api_github
★ M9 Bayonet,,,csgo_api_github
★ M9 Bayonet | Blue Steel,0.0,1.0,csgo_api_github
★ M9 Bayonet | Boreal Forest,0.06,0.8,csgo_api_github
★ M9 Bayonet | Case Hardened,0.0,1.0,csgo_api_github
★ M9 Bayonet | Crimson Web,0.06,0.8,csgo_api_github
★ M9 Bayonet | Fade,0.0,0.08,csgo_api_github
★ M9 Bayonet | Forest DDPAT,0.06,0.8,csgo_api_github
★ M9 Bayonet | Night,0.06,0.8,csgo_api_github
★ M9 Bayonet | Safari Mesh,0.06,0.8,csgo_api_github
★ M9 Bayonet | Scorched,0.06,0.8,csgo_api_github
★ M9 Bayonet | Slaughter,0.01,0.26,csgo_api_github
★ M9 Bayonet | Stained,0.0,1.0,csgo_api_github
★ M9 Bayonet | Urban Masked,0.06,0.8,csgo_api_github
Tec-9 | Blue Titanium,0.0,0.04,csgo_api_github
M4A1-S | Blood Tiger,0.0,0.3,csgo_api_github
FAMAS | Hexane,0.0,0.4,csgo_api_github
P250 | Hive,0.0,0.3,csgo_api_github
SCAR-20 | Crimson Web,0.06,0.8,csgo_api_github
Five-SeveN | Case Hardened,0.0,1.0,csgo_api_github
MP9 | Hypnotic,0.0,0.08,csgo_api_github
Nova | Graphite,0.0,0.12,csgo_api_github
Dual Berettas | Hemoglobin,0.0,0.2,csgo_api_github
P90 | Cold Blooded,0.0,0.08,csgo_api_github
USP-S | Serum,0.0,0.25,csgo_api_github
SSG 08 | Blood in the Water,0.06,0.2,csgo_api_github
CZ75-Auto | Crimson Web,0.06,0.8,csgo_api_github
P2000 | Red FragCam,0.0,0.7,csgo_api_github
Dual Berettas | Panther,0.0,0.58,csgo_api_github
USP-S | Stainless,0.0,0.8,csgo_api_github
Glock-18 | Blue Fissure,0.06,0.58,csgo_api_github
CZ75-Auto | Tread Plate,0.0,0.2,csgo_api_github
Tec-9 | Titanium Bit,0.0,0.2,csgo_api_github
Desert Eagle | Heirloom,0.0,0.8,csgo_api_github
Five-SeveN | Copper Galaxy,0.0,0.2,csgo_api_github
CZ75-Auto | The Fuschia Is Now,0.0,0.4,csgo_api_github
P250 | Undertow,0.0,0.2,csgo_api_github
CZ75-Auto | Victoria,0.0,0.75,csgo_api_github
MP9 | Modest Threat,0.0,0.75,csgo_api_github
Glock-18 | Oxide Blaze,0.0,0.85,csgo_api_github
Nova | Wood Fired,0.0,0.75,csgo_api_github
M4A4 | Magnesium,0.0,1.0,csgo_api_github
Sawed-Off | Black Sand,0.0,0.9,csgo_api_github
SG 553 | Danger Close,0.02,0.8,csgo_api_github
Tec-9 | Fubar,0.14,1.0,csgo_api_github
G3SG1 | Scavenger,0.0,0.65,csgo_api_github
Galil AR | Signal,0.0,0.5,csgo_api_github
MAC-10 | Pipe Down,0.0,0.9,csgo_api_github
P250 | Nevermore,0.0,0.4,csgo_api_github
USP-S | Flashback,0.0,0.5,csgo_api_github
UMP-45 | Momentum,0.0,0.5,csgo_api_github
Desert Eagle | Mecha Industries,0.0,0.6,csgo_api_github
MP5-SD | Phosphor,0.0,0.8,csgo_api_github
AK-47 | Asiimov,0.05,0.7,csgo_api_github
AWP | Neo-Noir,0.0,0.5,csgo_api_github
★ Talon Knife,,,csgo_api_github
★ Talon Knife | Blue Steel,0.0,1.0,csgo_api_github
★ Talon Knife | Boreal Forest,0.06,0.8,csgo_api_github
★ Talon Knife | Case Hardened,0.0,1.0,csgo_api_github
★ Talon Knife | Crimson Web,0.06,0.8,csgo_api_github
★ Talon Knife | Fade,0.0,0.08,csgo_api_github
★ Talon Knife | Forest DDPAT,0.06,0.8,csgo_api_github
★ Talon Knife | Night Stripe,0.06,0.8,csgo_api_github
★ Talon Knife | Safari Mesh,0.06,0.8,csgo_api_github
★ Talon Knife | Scorched,0.06,0.8,csgo_api_github
★ Talon Knife | Slaughter,0.01,0.26,csgo_api_github
★ Talon Knife | Stained,0.0,1.0,csgo_api_github
★ Talon Knife | Urban Masked,0.06,0.8,csgo_api_github
★ Navaja Knife,,,csgo_api_github
★ Navaja Knife | Blue Steel,0.0,1.0,csgo_api_github
★ Navaja Knife | Boreal Forest,0.06,0.8,csgo_api_github
★ Navaja Knife | Case Hardened,0.0,1.0,csgo_api_github
★ Navaja Knife | Crimson Web,0.06,0.8,csgo_api_github
★ Navaja Knife | Fade,0.0,0.08,csgo_api_github
★ Navaja Knife | Forest DDPAT,0.06,0.8,csgo_api_github
★ Navaja Knife | Night Stripe,0.06,0.8,csgo_api_github
★ Navaja Knife | Safari Mesh,0.06,0.8,csgo_api_github
★ Navaja Knife | Scorched,0.06,0.8,csgo_api_github
★ Navaja Knife | Slaughter,0.01,0.26,csgo_api_github
★ Navaja Knife | Stained,0.0,1.0,csgo_api_github
★ Navaja Knife | Urban Masked,0.06,0.8,csgo_api_github
★ Stiletto Knife,,,csgo_api_github
★ Stiletto Knife | Blue Steel,0.0,1.0,csgo_api_github
★ Stiletto Knife | Boreal Forest,0.06,0.8,csgo_api_github
★ Stiletto Knife | Case Hardened,0.0,1.0,csgo_api_github
★ Stiletto Knife | Crimson Web,0.06,0.8,csgo_api_github
★ Stiletto Knife | Fade,0.0,0.08,csgo_api_github
★ Stiletto Knife | Forest DDPAT,0.06,0.8,csgo_api_github
★ Stiletto Knife | Night Stripe,0.06,0.8,csgo_api_github
★ Stiletto Knife | Safari Mesh,0.06,0.8,csgo_api_github
★ Stiletto Knife | Scorched,0.06,0.8,csgo_api_github
★ Stiletto Knife | Slaughter,0.01,0.26,csgo_api_github
★ Stiletto Knife | Stained,0.0,1.0,csgo_api_github
★ Stiletto Knife | Urban Masked,0.06,0.8,csgo_api_github
★ Ursus Knife,,,csgo_api_github
★ Ursus Knife | Blue Steel,0.0,1.0,csgo_api_github
★ Ursus Knife | Boreal Forest,0.06,0.8,csgo_api_github
★ Ursus Knife | Case Hardened,0.0,1.0,csgo_api_github
★ Ursus Knife | Crimson Web,0.06,0.8,csgo_api_github
★ Ursus Knife | Fade,0.0,0.08,csgo_api_github
★ Ursus Knife | Forest DDPAT,0.06,0.8,csgo_api_github
★ Ursus Knife | Night Stripe,0.06,0.8,csgo_api_github
★ Ursus Knife | Safari Mesh,0.06,0.8,csgo_api_github
★ Ursus Knife | Scorched,0.06,0.8,csgo_api_github
★ Ursus Knife | Slaughter,0.01,0.26,csgo_api_github
★ Ursus Knife | Stained,0.0,1.0,csgo_api_github
★ Ursus Knife | Urban Masked,0.06,0.8,csgo_api_github
MP5-SD | Necro Jr.,0.0,1.0,csgo_api_github
MAC-10 | Ensnared,0.0,0.9,csgo_api_github
Sawed-Off | Spirit Board,0.0,1.0,csgo_api_github
P2000 | Lifted Spirits,0.0,1.0,csgo_api_github
MAG-7 | Foresight,0.0,0.7,csgo_api_github
SCAR-20 | Poultrygeist,0.0,0.57,csgo_api_github
Five-SeveN | Scrawl,0.0,1.0,csgo_api_github
USP-S | Ticket to Hell,0.0,0.76,csgo_api_github
M4A1-S | Night Terror,0.0,0.7,csgo_api_github
G3SG1 | Dream Glade,0.0,1.0,csgo_api_github
PP-Bizon | Space Cat,0.0,0.67,csgo_api_github
XM1014 | Zombie Offensive,0.0,0.5,csgo_api_github
FAMAS | Rapid Eye Movement,0.0,1.0,csgo_api_github
Dual Berettas | Melondrama,0.0,1.0,csgo_api_github
MP7 | Abyssal Apparition,0.0,1.0,csgo_api_github
AK-47 | Nightwish,0.0,1.0,csgo_api_github
MP9 | Starlight Protector,0.0,0.8,csgo_api_github
★ Butterfly Knife | Gamma Doppler (Phase 1),0.06,0.8,default_estimate
★ Butterfly Knife | Gamma Doppler (Phase 2),0.06,0.8,default_estimate
★ Butterfly Knife | Gamma Doppler (Phase 3),0.06,0.8,default_estimate
★ Butterfly Knife | Gamma Doppler (Phase 4),0.06,0.8,default_estimate
★ Butterfly Knife | Gamma Doppler (Emerald),0.06,0.8,default_estimate
★ Butterfly Knife | Freehand,0.0,0.48,csgo_api_github
★ Butterfly Knife | Lore,0.0,1.0,csgo_api_github
★ Butterfly Knife | Autotronic,0.0,0.85,csgo_api_github
★ Butterfly Knife | Bright Water,0.0,0.5,csgo_api_github
★ Butterfly Knife | Black Laminate,0.0,1.0,csgo_api_github
★ Huntsman Knife | Gamma Doppler (Phase 1),0.06,0.8,default_estimate
★ Huntsman Knife | Gamma Doppler (Phase 2),0.06,0.8,default_estimate
★ Huntsman Knife | Gamma Doppler (Phase 3),0.06,0.8,default_estimate
★ Huntsman Knife | Gamma Doppler (Phase 4),0.06,0.8,default_estimate
★ Huntsman Knife | Gamma Doppler (Emerald),0.06,0.8,default_estimate
★ Huntsman Knife | Freehand,0.0,0.48,csgo_api_github
★ Huntsman Knife | Lore,0.0,0.65,csgo_api_github
★ Huntsman Knife | Autotronic,0.0,0.85,csgo_api_github
★ Huntsman Knife | Bright Water,0.0,0.5,csgo_api_github
★ Huntsman Knife | Black Laminate,0.0,1.0,csgo_api_github
★ Falchion Knife | Gamma Doppler (Phase 1),0.06,0.8,default_estimate
★ Falchion Knife | Gamma Doppler (Phase 2),0.06,0.8,default_estimate
★ Falchion Knife | Gamma Doppler (Phase 3),0.06,0.8,default_estimate
★ Falchion Knife | Gamma Doppler (Phase 4),0.06,0.8,default_estimate
★ Falchion Knife | Gamma Doppler (Emerald),0.06,0.8,default_estimate
★ Falchion Knife | Freehand,0.0,0.48,csgo_api_github
★ Falchion Knife | Lore,0.0,0.65,csgo_api_github
★ Falchion Knife | Autotronic,0.0,0.85,csgo_api_github
★ Falchion Knife | Bright Water,0.0,0.5,csgo_api_github
★ Falchion Knife | Black Laminate,0.0,1.0,csgo_api_github
★ Shadow Daggers | Gamma Doppler (Phase 1),0.06,0.8,default_estimate
★ Shadow Daggers | Gamma Doppler (Phase 2),0.06,0.8,default_estimate
★ Shadow Daggers | Gamma Doppler (Phase 3),0.06,0.8,default_estimate
★ Shadow Daggers | Gamma Doppler (Phase 4),0.06,0.8,default_estimate
★ Shadow Daggers | Gamma Doppler (Emerald),0.06,0.8,default_estimate
★ Shadow Daggers | Freehand,0.0,0.48,csgo_api_github
★ Shadow Daggers | Lore,0.0,1.0,csgo_api_github
★ Shadow Daggers | Autotronic,0.0,0.85,csgo_api_github
★ Shadow Daggers | Bright Water,0.0,0.5,csgo_api_github
★ Shadow Daggers | Black Laminate,0.0,1.0,csgo_api_github
★ Bowie Knife | Gamma Doppler (Phase 1),0.06,0.8,default_estimate
★ Bowie Knife | Gamma Doppler (Phase 2),0.06,0.8,default_estimate
★ Bowie Knife | Gamma Doppler (Phase 3),0.06,0.8,default_estimate
★ Bowie Knife | Gamma Doppler (Phase 4),0.06,0.8,default_estimate
★ Bowie Knife | Gamma Doppler (Emerald),0.06,0.8,default_estimate
★ Bowie Knife | Freehand,0.0,0.48,csgo_api_github
★ Bowie Knife | Lore,0.0,1.0,csgo_api_github
★ Bowie Knife | Autotronic,0.0,0.85,csgo_api_github
★ Bowie Knife | Bright Water,0.0,0.5,csgo_api_github
★ Bowie Knife | Black Laminate,0.0,1.0,csgo_api_github
M4A4 | Faded Zebra,0.06,0.8,csgo_api_github
FAMAS | Doomkitty,0.08,0.22,csgo_api_github
MAG-7 | Memento,0.02,0.18,csgo_api_github
Sawed-Off | Orange DDPAT,0.06,0.8,csgo_api_github
P250 | Splash,0.06,0.18,csgo_api_github
Galil AR | Orange DDPAT,0.06,0.8,csgo_api_github
AK-47 | Red Laminate,0.06,0.8,csgo_api_github
AWP | BOOM,0.06,0.28,csgo_api_github
P90 | Death by Kitty,0.08,0.32,csgo_api_github
Galil AR | Blue Titanium,0.0,0.04,csgo_api_github
Five-SeveN | Nightshade,0.0,0.5,csgo_api_github
PP-Bizon | Water Sigil,0.0,0.5,csgo_api_github
Nova | Ghost Camo,0.0,0.4,csgo_api_github
G3SG1 | Azure Zebra,0.0,0.28,csgo_api_github
P250 | Steel Disruption,0.0,0.2,csgo_api_github
AK-47 | Blue Laminate,0.02,0.4,csgo_api_github
P90 | Blind Spot,0.0,0.5,csgo_api_github
FAMAS | Afterimage,0.02,0.4,csgo_api_github
AWP | Electric Hive,0.0,0.4,csgo_api_github
Desert Eagle | Cobalt Disruption,0.0,0.2,csgo_api_github
M4A4 | X-Ray,0.0,0.3,csgo_api_github
SSG 08 | Dark Water,0.1,0.26,csgo_api_github
MAC-10 | Ultraviolet,0.06,0.8,csgo_api_github
USP-S | Blood Tiger,0.0,0.3,csgo_api_github
CZ75-Auto | Hexane,0.0,0.4,csgo_api_github
Negev | Bratatat,0.0,1.0,csgo_api_github
XM1014 | Red Python,0.08,0.5,csgo_api_github
PP-Bizon | Blue Streak,0.06,0.8,csgo_api_github
P90 | Virus,0.06,0.8,csgo_api_github
MP7 | Ocean Foam,0.0,0.08,csgo_api_github
Glock-18 | Steel Disruption,0.0,0.2,csgo_api_github
Desert Eagle | Crimson Web,0.06,0.8,csgo_api_github
AUG | Bengal Tiger,0.06,0.8,csgo_api_github
Nova | Bloomstick,0.06,0.8,csgo_api_github
AWP | Corticera,0.06,0.3,csgo_api_github
P2000 | Corticera,0.06,0.3,csgo_api_github
M4A4 | Bullet Rain,0.02,0.46,csgo_api_github
AK-47 | Jaguar,0.0,1.0,csgo_api_github
Galil AR | Rocket Pop,0.0,1.0,csgo_api_github
Glock-18 | Bunsen Burner,0.0,0.8,csgo_api_github
