item_name_en,weapon,finish,rarity_en,case_name_en,marketHashName_used,platform,price,source,status
★ Bayonet | Doppler (Phase 2),★ Bayonet,Doppler (Phase 2),Restricted,Chroma 2 Case,,steam,,current,
★ Bayonet | Doppler (Phase 3),★ Bayonet,Doppler (Phase 3),Restricted,Chroma 2 Case,,steam,,current,
★ Bayonet | Doppler (Phase 4),★ Bayonet,Doppler (Phase 4),Restricted,Chroma 2 Case,,steam,,current,
★ Bayonet | Doppler (Black Pearl),★ Bayonet,Doppler (Black Pearl),Restricted,Chroma 2 Case,,steam,,current,
★ Bayonet | Doppler (Ruby),★ Bayonet,Doppler (Ruby),Restricted,Chroma 2 Case,,steam,,current,
★ Bayonet | Doppler (Sapphire),★ Bayonet,Doppler (Sapphire),Restricted,Chroma 2 Case,★ Bayonet | Doppler (Sapphire),steam,,current,-1
★ Bayonet | Damascus Steel,★ Bayonet,Damascus Steel,Restricted,Chroma 2 Case,★ Bayonet | Damascus Steel,steam,,current,-1
★ Bayonet | Marble Fade,★ Bayonet,Marble Fade,Restricted,Chroma 2 Case,★ Bayonet | Marble Fade,steam,,current,-1
★ Bayonet | Tiger Tooth,★ Bayonet,Tiger Tooth,Restricted,Chroma 2 Case,★ Bayonet | Tiger Tooth,steam,,current,-1
★ Bayonet | Rust Coat,★ Bayonet,Rust Coat,Restricted,Chroma 2 Case,★ Bayonet | Rust Coat,steam,,current,-1
★ Bayonet | Ultraviolet,★ Bayonet,Ultraviolet,Restricted,Chroma 2 Case,★ Bayonet | Ultraviolet,steam,,current,-1
★ Flip Knife | Doppler (Phase 1),★ Flip Knife,Doppler (Phase 1),Restricted,Chroma 2 Case,★ Flip Knife | Doppler (Phase 1),steam,,current,-1
★ Flip Knife | Doppler (Phase 2),★ Flip Knife,Doppler (Phase 2),Restricted,Chroma 2 Case,★ Flip Knife | Doppler (Phase 2),steam,,current,-1
★ Flip Knife | Doppler (Phase 3),★ Flip Knife,Doppler (Phase 3),Restricted,Chroma 2 Case,★ Flip Knife | Doppler (Phase 3),steam,,current,-1
★ Flip Knife | Doppler (Phase 4),★ Flip Knife,Doppler (Phase 4),Restricted,Chroma 2 Case,★ Flip Knife | Doppler (Phase 4),steam,,current,-1
★ Flip Knife | Doppler (Black Pearl),★ Flip Knife,Doppler (Black Pearl),Restricted,Chroma 2 Case,★ Flip Knife | Doppler (Black Pearl),steam,,current,-1
★ Flip Knife | Doppler (Ruby),★ Flip Knife,Doppler (Ruby),Restricted,Chroma 2 Case,★ Flip Knife | Doppler (Ruby),steam,,current,-1
★ Flip Knife | Doppler (Sapphire),★ Flip Knife,Doppler (Sapphire),Restricted,Chroma 2 Case,★ Flip Knife | Doppler (Sapphire),steam,,current,-1
★ Flip Knife | Damascus Steel,★ Flip Knife,Damascus Steel,Restricted,Chroma 2 Case,★ Flip Knife | Damascus Steel,steam,,current,-1
★ Flip Knife | Marble Fade,★ Flip Knife,Marble Fade,Restricted,Chroma 2 Case,★ Flip Knife | Marble Fade,steam,,current,-1
★ Flip Knife | Tiger Tooth,★ Flip Knife,Tiger Tooth,Restricted,Chroma 2 Case,★ Flip Knife | Tiger Tooth (Field-Tested),steam,,current,-1
★ Flip Knife | Rust Coat,★ Flip Knife,Rust Coat,Restricted,Chroma 2 Case,★ Flip Knife | Rust Coat (Well-Worn),steam,1406.16,single,200
★ Flip Knife | Ultraviolet,★ Flip Knife,Ultraviolet,Restricted,Chroma 2 Case,★ Flip Knife | Ultraviolet (Minimal Wear),steam,2010.03,single,200
★ Gut Knife | Doppler (Phase 1),★ Gut Knife,Doppler (Phase 1),Restricted,Chroma 2 Case,,steam,,current,
★ Gut Knife | Doppler (Phase 2),★ Gut Knife,Doppler (Phase 2),Restricted,Chroma 2 Case,,steam,,current,
★ Gut Knife | Doppler (Phase 3),★ Gut Knife,Doppler (Phase 3),Restricted,Chroma 2 Case,,steam,,current,
★ Gut Knife | Doppler (Phase 4),★ Gut Knife,Doppler (Phase 4),Restricted,Chroma 2 Case,,steam,,current,
★ Gut Knife | Doppler (Black Pearl),★ Gut Knife,Doppler (Black Pearl),Restricted,Chroma 2 Case,,steam,,current,
★ Gut Knife | Doppler (Ruby),★ Gut Knife,Doppler (Ruby),Restricted,Chroma 2 Case,,steam,,current,
★ Gut Knife | Doppler (Sapphire),★ Gut Knife,Doppler (Sapphire),Restricted,Chroma 2 Case,,steam,,current,
★ Gut Knife | Damascus Steel,★ Gut Knife,Damascus Steel,Restricted,Chroma 2 Case,★ Gut Knife | Damascus Steel (Factory New),steam,1017.04,single,200
★ Gut Knife | Marble Fade,★ Gut Knife,Marble Fade,Restricted,Chroma 2 Case,★ Gut Knife | Marble Fade (Factory New),steam,1641.06,single,200
★ Gut Knife | Tiger Tooth,★ Gut Knife,Tiger Tooth,Restricted,Chroma 2 Case,★ Gut Knife | Tiger Tooth (Factory New),steam,1352.83,single,200
★ Gut Knife | Rust Coat,★ Gut Knife,Rust Coat,Restricted,Chroma 2 Case,★ Gut Knife | Rust Coat (Well-Worn),steam,1459.64,single,200
★ Gut Knife | Ultraviolet,★ Gut Knife,Ultraviolet,Restricted,Chroma 2 Case,★ Gut Knife | Ultraviolet (Minimal Wear),steam,1032.35,single,200
★ Karambit | Doppler (Phase 1),★ Karambit,Doppler (Phase 1),Restricted,Chroma 2 Case,★ Karambit | Doppler (Phase 1),steam,,current,-1
★ Karambit | Doppler (Phase 2),★ Karambit,Doppler (Phase 2),Restricted,Chroma 2 Case,★ Karambit | Doppler (Phase 2),steam,,current,-1
★ Karambit | Doppler (Phase 3),★ Karambit,Doppler (Phase 3),Restricted,Chroma 2 Case,★ Karambit | Doppler (Phase 3),steam,,current,-1
★ Karambit | Doppler (Phase 4),★ Karambit,Doppler (Phase 4),Restricted,Chroma 2 Case,★ Karambit | Doppler (Phase 4),steam,,current,-1
★ Karambit | Doppler (Black Pearl),★ Karambit,Doppler (Black Pearl),Restricted,Chroma 2 Case,★ Karambit | Doppler (Black Pearl),steam,,current,-1
★ Karambit | Doppler (Ruby),★ Karambit,Doppler (Ruby),Restricted,Chroma 2 Case,★ Karambit | Doppler (Ruby),steam,,current,-1
★ Karambit | Doppler (Sapphire),★ Karambit,Doppler (Sapphire),Restricted,Chroma 2 Case,★ Karambit | Doppler (Sapphire),steam,,current,-1
★ Karambit | Damascus Steel,★ Karambit,Damascus Steel,Restricted,Chroma 2 Case,★ Karambit | Damascus Steel,steam,,current,-1
★ Karambit | Marble Fade,★ Karambit,Marble Fade,Restricted,Chroma 2 Case,★ Karambit | Marble Fade,steam,,current,-1
★ Karambit | Tiger Tooth,★ Karambit,Tiger Tooth,Restricted,Chroma 2 Case,★ Karambit | Tiger Tooth,steam,,current,-1
★ Karambit | Rust Coat,★ Karambit,Rust Coat,Restricted,Chroma 2 Case,★ Karambit | Rust Coat (Battle-Scarred),steam,,current,-1
★ Karambit | Ultraviolet,★ Karambit,Ultraviolet,Restricted,Chroma 2 Case,★ Karambit | Ultraviolet (Minimal Wear),steam,8188.23,single,200
★ M9 Bayonet | Doppler (Phase 1),★ M9 Bayonet,Doppler (Phase 1),Restricted,Chroma 2 Case,,steam,,current,
★ M9 Bayonet | Doppler (Phase 2),★ M9 Bayonet,Doppler (Phase 2),Restricted,Chroma 2 Case,,steam,,current,
★ M9 Bayonet | Doppler (Phase 3),★ M9 Bayonet,Doppler (Phase 3),Restricted,Chroma 2 Case,,steam,,current,
★ M9 Bayonet | Doppler (Phase 4),★ M9 Bayonet,Doppler (Phase 4),Restricted,Chroma 2 Case,,steam,,current,
★ M9 Bayonet | Doppler (Black Pearl),★ M9 Bayonet,Doppler (Black Pearl),Restricted,Chroma 2 Case,,steam,,current,
★ M9 Bayonet | Doppler (Ruby),★ M9 Bayonet,Doppler (Ruby),Restricted,Chroma 2 Case,,steam,,current,
★ M9 Bayonet | Doppler (Sapphire),★ M9 Bayonet,Doppler (Sapphire),Restricted,Chroma 2 Case,,steam,,current,
★ M9 Bayonet | Damascus Steel,★ M9 Bayonet,Damascus Steel,Restricted,Chroma 2 Case,★ M9 Bayonet | Damascus Steel (Factory New),steam,6408.18,single,200
★ M9 Bayonet | Marble Fade,★ M9 Bayonet,Marble Fade,Restricted,Chroma 2 Case,★ M9 Bayonet | Marble Fade (Factory New),steam,9523.4,single,200
★ M9 Bayonet | Tiger Tooth,★ M9 Bayonet,Tiger Tooth,Restricted,Chroma 2 Case,★ M9 Bayonet | Tiger Tooth (Factory New),steam,8677.1,single,200
★ M9 Bayonet | Rust Coat,★ M9 Bayonet,Rust Coat,Restricted,Chroma 2 Case,★ M9 Bayonet | Rust Coat (Battle-Scarred),steam,3938.53,single,200
★ M9 Bayonet | Ultraviolet,★ M9 Bayonet,Ultraviolet,Restricted,Chroma 2 Case,★ M9 Bayonet | Ultraviolet (Minimal Wear),steam,7080.89,single,200
Dual Berettas | Ventilators,Dual Berettas,Ventilators,Covert,Chroma 3 Case,Dual Berettas | Ventilators (Factory New),steam,6.69,single,200
G3SG1 | Orange Crash,G3SG1,Orange Crash,Covert,Chroma 3 Case,G3SG1 | Orange Crash (Factory New),steam,5.34,single,200
M249 | Spectre,M249,Spectre,Covert,Chroma 3 Case,M249 | Spectre (Factory New),steam,6.19,single,200
MP9 | Bioleak,MP9,Bioleak,Covert,Chroma 3 Case,MP9 | Bioleak (Factory New),steam,7.33,single,200
P2000 | Oceanic,P2000,Oceanic,Covert,Chroma 3 Case,P2000 | Oceanic (Factory New),steam,6.62,single,200
SG 553 | Atlas,SG 553,Atlas,Covert,Chroma 3 Case,SG 553 | Atlas,steam,,current,-1
Sawed-Off | Fubar,Sawed-Off,Fubar,Covert,Chroma 3 Case,Sawed-Off | Fubar,steam,,current,-1
Galil AR | Firefight,Galil AR,Firefight,Classified,Chroma 3 Case,Galil AR | Firefight,steam,,current,-1
CZ75 Auto | Red Astor,CZ75 Auto,Red Astor,Classified,Chroma 3 Case,CZ75 Auto | Red Astor,steam,,current,-1
XM1014 | Black Tie,XM1014,Black Tie,Classified,Chroma 3 Case,XM1014 | Black Tie,steam,,current,-1
SSG 08 | Ghost Crusader,SSG 08,Ghost Crusader,Classified,Chroma 3 Case,SSG 08 | Ghost Crusader,steam,,current,-1
Tec-9 | Re-Entry,Tec-9,Re-Entry,Classified,Chroma 3 Case,Tec-9 | Re-Entry,steam,,current,-1
UMP-45 | Primal Saber,UMP-45,Primal Saber,Gold,Chroma 3 Case,UMP-45 | Primal Saber,steam,,current,-1
P250 | Asiimov,P250,Asiimov,Gold,Chroma 3 Case,P250 | Asiimov,steam,,current,-1
AUG | Fleet Flock,AUG,Fleet Flock,Gold,Chroma 3 Case,AUG | Fleet Flock (Well-Worn),steam,106.73,single,200
M4A1-S | Chantico's Fire,M4A1-S,Chantico's Fire,Restricted,Chroma 3 Case,M4A1-S | Chantico's Fire (Factory New),steam,4817.38,single,200
PP-Bizon | Judgement of Anubis,PP-Bizon,Judgement of Anubis,Restricted,Chroma 3 Case,PP-Bizon | Judgement of Anubis (Factory New),steam,1472.88,single,200
★ Bayonet | Doppler (Phase 1),★ Bayonet,Doppler (Phase 1),Restricted,Chroma 3 Case,,steam,,current,
★ Bayonet | Doppler (Phase 2),★ Bayonet,Doppler (Phase 2),Restricted,Chroma 3 Case,,steam,,current,
★ Bayonet | Doppler (Phase 3),★ Bayonet,Doppler (Phase 3),Restricted,Chroma 3 Case,,steam,,current,
★ Bayonet | Doppler (Phase 4),★ Bayonet,Doppler (Phase 4),Restricted,Chroma 3 Case,,steam,,current,
★ Bayonet | Doppler (Black Pearl),★ Bayonet,Doppler (Black Pearl),Restricted,Chroma 3 Case,,steam,,current,
★ Bayonet | Doppler (Ruby),★ Bayonet,Doppler (Ruby),Restricted,Chroma 3 Case,,steam,,current,
★ Bayonet | Doppler (Sapphire),★ Bayonet,Doppler (Sapphire),Restricted,Chroma 3 Case,,steam,,current,
★ Bayonet | Damascus Steel,★ Bayonet,Damascus Steel,Restricted,Chroma 3 Case,★ Bayonet | Damascus Steel (Factory New),steam,2699.48,single,200
★ Bayonet | Marble Fade,★ Bayonet,Marble Fade,Restricted,Chroma 3 Case,★ Bayonet | Marble Fade (Factory New),steam,5005.07,single,200
★ Bayonet | Tiger Tooth,★ Bayonet,Tiger Tooth,Restricted,Chroma 3 Case,★ Bayonet | Tiger Tooth (Factory New),steam,4253.53,single,200
★ Bayonet | Rust Coat,★ Bayonet,Rust Coat,Restricted,Chroma 3 Case,★ Bayonet | Rust Coat (Well-Worn),steam,1858.37,single,200
★ Bayonet | Ultraviolet,★ Bayonet,Ultraviolet,Restricted,Chroma 3 Case,★ Bayonet | Ultraviolet (Factory New),steam,10379.18,single,200
★ Flip Knife | Doppler (Phase 1),★ Flip Knife,Doppler (Phase 1),Restricted,Chroma 3 Case,,steam,,current,
★ Flip Knife | Doppler (Phase 2),★ Flip Knife,Doppler (Phase 2),Restricted,Chroma 3 Case,★ Flip Knife | Doppler (Phase 2),steam,,current,-1
★ Flip Knife | Doppler (Phase 3),★ Flip Knife,Doppler (Phase 3),Restricted,Chroma 3 Case,★ Flip Knife | Doppler (Phase 3),steam,,current,-1
★ Flip Knife | Doppler (Phase 4),★ Flip Knife,Doppler (Phase 4),Restricted,Chroma 3 Case,★ Flip Knife | Doppler (Phase 4),steam,,current,-1
★ Flip Knife | Doppler (Black Pearl),★ Flip Knife,Doppler (Black Pearl),Restricted,Chroma 3 Case,★ Flip Knife | Doppler (Black Pearl),steam,,current,-1
★ Flip Knife | Doppler (Ruby),★ Flip Knife,Doppler (Ruby),Restricted,Chroma 3 Case,★ Flip Knife | Doppler (Ruby),steam,,current,-1
★ Flip Knife | Doppler (Sapphire),★ Flip Knife,Doppler (Sapphire),Restricted,Chroma 3 Case,★ Flip Knife | Doppler (Sapphire),steam,,current,-1
★ Flip Knife | Damascus Steel,★ Flip Knife,Damascus Steel,Restricted,Chroma 3 Case,★ Flip Knife | Damascus Steel,steam,,current,-1
★ Flip Knife | Marble Fade,★ Flip Knife,Marble Fade,Restricted,Chroma 3 Case,★ Flip Knife | Marble Fade,steam,,current,-1
★ Flip Knife | Tiger Tooth,★ Flip Knife,Tiger Tooth,Restricted,Chroma 3 Case,★ Flip Knife | Tiger Tooth (Battle-Scarred),steam,,current,-1
★ Flip Knife | Rust Coat,★ Flip Knife,Rust Coat,Restricted,Chroma 3 Case,★ Flip Knife | Rust Coat (Well-Worn),steam,1406.16,single,200
★ Flip Knife | Ultraviolet,★ Flip Knife,Ultraviolet,Restricted,Chroma 3 Case,★ Flip Knife | Ultraviolet (Minimal Wear),steam,2010.03,single,200
★ Gut Knife | Doppler (Phase 1),★ Gut Knife,Doppler (Phase 1),Restricted,Chroma 3 Case,,steam,,current,
★ Gut Knife | Doppler (Phase 2),★ Gut Knife,Doppler (Phase 2),Restricted,Chroma 3 Case,,steam,,current,
★ Gut Knife | Doppler (Phase 3),★ Gut Knife,Doppler (Phase 3),Restricted,Chroma 3 Case,,steam,,current,
★ Gut Knife | Doppler (Phase 4),★ Gut Knife,Doppler (Phase 4),Restricted,Chroma 3 Case,,steam,,current,
★ Gut Knife | Doppler (Black Pearl),★ Gut Knife,Doppler (Black Pearl),Restricted,Chroma 3 Case,,steam,,current,
★ Gut Knife | Doppler (Ruby),★ Gut Knife,Doppler (Ruby),Restricted,Chroma 3 Case,,steam,,current,
★ Gut Knife | Doppler (Sapphire),★ Gut Knife,Doppler (Sapphire),Restricted,Chroma 3 Case,,steam,,current,
★ Gut Knife | Damascus Steel,★ Gut Knife,Damascus Steel,Restricted,Chroma 3 Case,★ Gut Knife | Damascus Steel (Factory New),steam,1017.04,single,200
★ Gut Knife | Marble Fade,★ Gut Knife,Marble Fade,Restricted,Chroma 3 Case,★ Gut Knife | Marble Fade (Factory New),steam,1641.06,single,200
★ Gut Knife | Tiger Tooth,★ Gut Knife,Tiger Tooth,Restricted,Chroma 3 Case,★ Gut Knife | Tiger Tooth (Factory New),steam,1352.83,single,200
★ Gut Knife | Rust Coat,★ Gut Knife,Rust Coat,Restricted,Chroma 3 Case,★ Gut Knife | Rust Coat (Well-Worn),steam,1459.64,single,200
★ Gut Knife | Ultraviolet,★ Gut Knife,Ultraviolet,Restricted,Chroma 3 Case,★ Gut Knife | Ultraviolet (Minimal Wear),steam,1032.35,single,200
★ Karambit | Doppler (Phase 1),★ Karambit,Doppler (Phase 1),Restricted,Chroma 3 Case,★ Karambit | Doppler (Phase 1),steam,,current,-1
★ Karambit | Doppler (Phase 2),★ Karambit,Doppler (Phase 2),Restricted,Chroma 3 Case,★ Karambit | Doppler (Phase 2),steam,,current,-1
★ Karambit | Doppler (Phase 3),★ Karambit,Doppler (Phase 3),Restricted,Chroma 3 Case,★ Karambit | Doppler (Phase 3),steam,,current,-1
★ Karambit | Doppler (Phase 4),★ Karambit,Doppler (Phase 4),Restricted,Chroma 3 Case,★ Karambit | Doppler (Phase 4),steam,,current,-1
★ Karambit | Doppler (Black Pearl),★ Karambit,Doppler (Black Pearl),Restricted,Chroma 3 Case,★ Karambit | Doppler (Black Pearl),steam,,current,-1
★ Karambit | Doppler (Ruby),★ Karambit,Doppler (Ruby),Restricted,Chroma 3 Case,★ Karambit | Doppler (Ruby),steam,,current,-1
★ Karambit | Doppler (Sapphire),★ Karambit,Doppler (Sapphire),Restricted,Chroma 3 Case,★ Karambit | Doppler (Sapphire),steam,,current,-1
★ Karambit | Damascus Steel,★ Karambit,Damascus Steel,Restricted,Chroma 3 Case,★ Karambit | Damascus Steel,steam,,current,-1
★ Karambit | Marble Fade,★ Karambit,Marble Fade,Restricted,Chroma 3 Case,★ Karambit | Marble Fade,steam,,current,-1
★ Karambit | Tiger Tooth,★ Karambit,Tiger Tooth,Restricted,Chroma 3 Case,★ Karambit | Tiger Tooth,steam,,current,-1
★ Karambit | Rust Coat,★ Karambit,Rust Coat,Restricted,Chroma 3 Case,★ Karambit | Rust Coat,steam,,current,-1
★ Karambit | Ultraviolet,★ Karambit,Ultraviolet,Restricted,Chroma 3 Case,★ Karambit | Ultraviolet,steam,,current,-1
★ M9 Bayonet | Doppler (Phase 1),★ M9 Bayonet,Doppler (Phase 1),Restricted,Chroma 3 Case,★ M9 Bayonet | Doppler (Phase 1),steam,,current,-1
★ M9 Bayonet | Doppler (Phase 2),★ M9 Bayonet,Doppler (Phase 2),Restricted,Chroma 3 Case,★ M9 Bayonet | Doppler (Phase 2) (Field-Tested),steam,,current,-1
★ M9 Bayonet | Doppler (Phase 3),★ M9 Bayonet,Doppler (Phase 3),Restricted,Chroma 3 Case,,steam,,current,
★ M9 Bayonet | Doppler (Phase 4),★ M9 Bayonet,Doppler (Phase 4),Restricted,Chroma 3 Case,,steam,,current,
★ M9 Bayonet | Doppler (Black Pearl),★ M9 Bayonet,Doppler (Black Pearl),Restricted,Chroma 3 Case,,steam,,current,
★ M9 Bayonet | Doppler (Ruby),★ M9 Bayonet,Doppler (Ruby),Restricted,Chroma 3 Case,,steam,,current,
★ M9 Bayonet | Doppler (Sapphire),★ M9 Bayonet,Doppler (Sapphire),Restricted,Chroma 3 Case,,steam,,current,
★ M9 Bayonet | Damascus Steel,★ M9 Bayonet,Damascus Steel,Restricted,Chroma 3 Case,★ M9 Bayonet | Damascus Steel (Factory New),steam,6408.18,single,200
★ M9 Bayonet | Marble Fade,★ M9 Bayonet,Marble Fade,Restricted,Chroma 3 Case,★ M9 Bayonet | Marble Fade (Factory New),steam,9523.4,single,200
★ M9 Bayonet | Tiger Tooth,★ M9 Bayonet,Tiger Tooth,Restricted,Chroma 3 Case,★ M9 Bayonet | Tiger Tooth (Factory New),steam,8677.1,single,200
★ M9 Bayonet | Rust Coat,★ M9 Bayonet,Rust Coat,Restricted,Chroma 3 Case,★ M9 Bayonet | Rust Coat (Battle-Scarred),steam,3938.53,single,200
★ M9 Bayonet | Ultraviolet,★ M9 Bayonet,Ultraviolet,Restricted,Chroma 3 Case,★ M9 Bayonet | Ultraviolet (Minimal Wear),steam,7080.89,single,200
Glock-18 | Catacombs,Glock-18,Catacombs,Covert,Chroma Case,Glock-18 | Catacombs (Factory New),steam,13.1,single,200
M249 | System Lock,M249,System Lock,Covert,Chroma Case,M249 | System Lock (Factory New),steam,9.54,single,200
MP9 | Deadly Poison,MP9,Deadly Poison,Covert,Chroma Case,MP9 | Deadly Poison (Factory New),steam,28.48,single,200
SCAR-20 | Grotto,SCAR-20,Grotto,Covert,Chroma Case,SCAR-20 | Grotto (Factory New),steam,8.54,single,200
XM1014 | Quicksilver,XM1014,Quicksilver,Covert,Chroma Case,XM1014 | Quicksilver (Factory New),steam,8.25,single,200
Dual Berettas | Urban Shock,Dual Berettas,Urban Shock,Classified,Chroma Case,Dual Berettas | Urban Shock (Factory New),steam,62.3,single,200
Desert Eagle | Naga,Desert Eagle,Naga,Classified,Chroma Case,Desert Eagle | Naga (Factory New),steam,188.68,single,200
MAC-10 | Malachite,MAC-10,Malachite,Classified,Chroma Case,MAC-10 | Malachite (Factory New),steam,69.42,single,200
Sawed-Off | Serenity,Sawed-Off,Serenity,Classified,Chroma Case,Sawed-Off | Serenity (Factory New),steam,64.65,single,200
AK-47 | Cartel,AK-47,Cartel,Gold,Chroma Case,AK-47 | Cartel (Factory New),steam,801.94,single,200
M4A4 | 龍王 (Dragon King),M4A4,龍王 (Dragon King),Gold,Chroma Case,M4A4 | 龍王 (Dragon King) (Factory New),steam,893.44,single,200
P250 | Muertos,P250,Muertos,Gold,Chroma Case,P250 | Muertos (Factory New),steam,226.92,single,200
AWP | Man-o'-war,AWP,Man-o'-war,Restricted,Chroma Case,AWP | Man-o'-war (Minimal Wear),steam,1208.22,single,200
Galil AR | Chatterbox,Galil AR,Chatterbox,Restricted,Chroma Case,Galil AR | Chatterbox (Field-Tested),steam,1716.39,single,200
★ Bayonet | Doppler (Phase 1),★ Bayonet,Doppler (Phase 1),Restricted,Chroma Case,★ Bayonet | Doppler (Phase 1),steam,,current,-1
★ Bayonet | Doppler (Phase 2),★ Bayonet,Doppler (Phase 2),Restricted,Chroma Case,★ Bayonet | Doppler (Phase 2),steam,,current,-1
★ Bayonet | Doppler (Phase 3),★ Bayonet,Doppler (Phase 3),Restricted,Chroma Case,★ Bayonet | Doppler (Phase 3),steam,,current,-1
★ Bayonet | Doppler (Phase 4),★ Bayonet,Doppler (Phase 4),Restricted,Chroma Case,★ Bayonet | Doppler (Phase 4),steam,,current,-1
★ Bayonet | Doppler (Black Pearl),★ Bayonet,Doppler (Black Pearl),Restricted,Chroma Case,★ Bayonet | Doppler (Black Pearl),steam,,current,-1
★ Bayonet | Doppler (Ruby),★ Bayonet,Doppler (Ruby),Restricted,Chroma Case,★ Bayonet | Doppler (Ruby),steam,,current,-1
★ Bayonet | Doppler (Sapphire),★ Bayonet,Doppler (Sapphire),Restricted,Chroma Case,★ Bayonet | Doppler (Sapphire),steam,,current,-1
★ Bayonet | Damascus Steel,★ Bayonet,Damascus Steel,Restricted,Chroma Case,★ Bayonet | Damascus Steel,steam,,current,-1
★ Bayonet | Marble Fade,★ Bayonet,Marble Fade,Restricted,Chroma Case,★ Bayonet | Marble Fade,steam,,current,-1
★ Bayonet | Tiger Tooth,★ Bayonet,Tiger Tooth,Restricted,Chroma Case,★ Bayonet | Tiger Tooth,steam,,current,-1
★ Bayonet | Rust Coat,★ Bayonet,Rust Coat,Restricted,Chroma Case,★ Bayonet | Rust Coat,steam,,current,-1
★ Bayonet | Ultraviolet,★ Bayonet,Ultraviolet,Restricted,Chroma Case,★ Bayonet | Ultraviolet,steam,,current,-1
★ Flip Knife | Doppler (Phase 1),★ Flip Knife,Doppler (Phase 1),Restricted,Chroma Case,★ Flip Knife | Doppler (Phase 1),steam,,current,-1
★ Flip Knife | Doppler (Phase 2),★ Flip Knife,Doppler (Phase 2),Restricted,Chroma Case,★ Flip Knife | Doppler (Phase 2),steam,,current,-1
★ Flip Knife | Doppler (Phase 3),★ Flip Knife,Doppler (Phase 3),Restricted,Chroma Case,★ Flip Knife | Doppler (Phase 3) (Well-Worn),steam,,current,-1
★ Flip Knife | Doppler (Phase 4),★ Flip Knife,Doppler (Phase 4),Restricted,Chroma Case,,steam,,current,
★ Flip Knife | Doppler (Black Pearl),★ Flip Knife,Doppler (Black Pearl),Restricted,Chroma Case,,steam,,current,
★ Flip Knife | Doppler (Ruby),★ Flip Knife,Doppler (Ruby),Restricted,Chroma Case,,steam,,current,
★ Flip Knife | Doppler (Sapphire),★ Flip Knife,Doppler (Sapphire),Restricted,Chroma Case,,steam,,current,
★ Flip Knife | Damascus Steel,★ Flip Knife,Damascus Steel,Restricted,Chroma Case,★ Flip Knife | Damascus Steel (Factory New),steam,1682.14,single,200
★ Flip Knife | Marble Fade,★ Flip Knife,Marble Fade,Restricted,Chroma Case,★ Flip Knife | Marble Fade (Factory New),steam,3219.18,single,200
★ Flip Knife | Tiger Tooth,★ Flip Knife,Tiger Tooth,Restricted,Chroma Case,★ Flip Knife | Tiger Tooth (Factory New),steam,2500.4,single,200
★ Flip Knife | Rust Coat,★ Flip Knife,Rust Coat,Restricted,Chroma Case,★ Flip Knife | Rust Coat (Well-Worn),steam,1406.16,single,200
★ Flip Knife | Ultraviolet,★ Flip Knife,Ultraviolet,Restricted,Chroma Case,★ Flip Knife | Ultraviolet (Minimal Wear),steam,2010.03,single,200
★ Gut Knife | Doppler (Phase 1),★ Gut Knife,Doppler (Phase 1),Restricted,Chroma Case,,steam,,current,
★ Gut Knife | Doppler (Phase 2),★ Gut Knife,Doppler (Phase 2),Restricted,Chroma Case,,steam,,current,
