name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
Desert Eagle | Ocean Drive,Operation Riptide Case,Covert,418.98,WW,C5,,False,Gold,5.0,3660.3875000000003,战痕,732.0775000000001,418.98,313.0975000000001,0.7472850732731874
SSG 08 | Death's Head,Operation Hydra Case,Restricted,168.28,WW,BUFF,,False,Classified,10.0,1827.9066666666668,破损,182.79066666666668,168.28,14.51066666666668,0.08622930037239529
UMP-45 | Moonrise,Prisma Case,Restricted,6.57,WW,C5,,False,Classified,10.0,204.7,久经,20.47,6.57,13.899999999999999,2.115677321156773
Tec-9 | Bamboozle,Prisma Case,Restricted,8.49,MW,C5,,False,Classified,10.0,215.92000000000002,战痕,21.592000000000002,8.49,13.102000000000002,1.5432273262661957
Negev | Power Loader,Revolver Case,Restricted,46.6,FN,BUFF,,False,Classified,10.0,590.0,破损,59.0,46.6,12.399999999999999,0.2660944206008583
MP9 | Starlight Protector,Dreams & Nightmares Case,Covert,459.0,MW,BUFF,,False,Gold,5.0,2355.2593333333334,战痕,471.0518666666667,459.0,12.051866666666683,0.026256790123456827
P2000 | Imperial Dragon,Gamma Case,Classified,117.0,MW,BUFF,,False,Covert,10.0,1285.0,战痕,128.5,117.0,11.5,0.09829059829059829
Desert Eagle | Light Rail,Prisma Case,Restricted,11.9,MW,C5,,False,Classified,10.0,215.92000000000002,战痕,21.592000000000002,11.9,9.692000000000002,0.8144537815126052
P90 | Death Grip,Operation Hydra Case,Restricted,272.0,MW,YOUPIN,,False,Classified,10.0,2805.6666666666665,战痕,280.56666666666666,272.0,8.566666666666663,0.03149509803921567
Negev | dev_texture,Snakebite Case,Restricted,17.24,FN,BUFF,,False,Classified,10.0,256.935,久经,25.6935,17.24,8.453500000000002,0.4903422273781904
MP7 | Nemesis,Falchion Case,Classified,51.0,FT,BUFF,,False,Covert,10.0,594.5,略磨,59.45,51.0,8.450000000000003,0.16568627450980397
XM1014 | Seasons,Spectrum Case,Restricted,22.63,FN,BUFF,,False,Classified,10.0,309.01,久经,30.901,22.63,8.271,0.3654882898806894
R8 Revolver | Llama Cannon,Spectrum 2 Case,Classified,84.99,MW,BUFF,,False,Covert,10.0,913.5,战痕,91.35,84.99,6.359999999999999,0.07483233321567243
Negev | dev_texture,Snakebite Case,Restricted,2.56,FT,C5,,False,Classified,10.0,88.535,久经,8.8535,2.56,6.2935,2.4583984375
MAC-10 | Button Masher,Snakebite Case,Restricted,2.59,BS,YOUPIN,,False,Classified,10.0,88.58500000000001,战痕,8.858500000000001,2.59,6.268500000000001,2.420270270270271
P250 | Cyber Shell,Snakebite Case,Restricted,2.62,WW,YOUPIN,,False,Classified,10.0,88.58500000000001,破损,8.858500000000001,2.62,6.238500000000001,2.381106870229008
P250 | Cyber Shell,Snakebite Case,Restricted,2.71,FT,YOUPIN,,False,Classified,10.0,89.33500000000001,破损,8.9335,2.71,6.2235000000000005,2.2964944649446495
P250 | Cyber Shell,Snakebite Case,Restricted,2.64,BS,BUFF,,False,Classified,10.0,88.58500000000001,破损,8.858500000000001,2.64,6.218500000000001,2.355492424242424
MAC-10 | Button Masher,Snakebite Case,Restricted,2.64,WW,BUFF,,False,Classified,10.0,88.535,战痕,8.8535,2.64,6.2135,2.3535984848484848
MAC-10 | Button Masher,Snakebite Case,Restricted,2.74,FT,YOUPIN,,False,Classified,10.0,89.33500000000001,战痕,8.9335,2.74,6.1935,2.2604014598540143
Negev | dev_texture,Snakebite Case,Restricted,2.68,BS,BUFF,,False,Classified,10.0,88.58500000000001,久经,8.858500000000001,2.68,6.178500000000001,2.3054104477611945
Negev | dev_texture,Snakebite Case,Restricted,2.79,WW,BUFF,,False,Classified,10.0,88.58500000000001,久经,8.858500000000001,2.79,6.068500000000001,2.1750896057347675
Desert Eagle | Trigger Discipline,Snakebite Case,Restricted,3.17,BS,YOUPIN,,False,Classified,10.0,88.58500000000001,战痕,8.858500000000001,3.17,5.688500000000001,1.7944794952681393
Desert Eagle | Trigger Discipline,Snakebite Case,Restricted,3.25,WW,YOUPIN,,False,Classified,10.0,88.535,战痕,8.8535,3.25,5.6035,1.7241538461538464
SG 553 | Cyrex,Falchion Case,Classified,53.96,MW,BUFF,,False,Covert,10.0,594.5,破损,59.45,53.96,5.490000000000002,0.1017420311341735
P250 | Cyber Shell,Snakebite Case,Restricted,5.0,MW,BUFF,,False,Classified,10.0,101.885,破损,10.188500000000001,5.0,5.188500000000001,1.0377000000000003
CZ75-Auto | Yellow Jacket,Falchion Case,Classified,54.32,MW,BUFF,,False,Covert,10.0,594.5,破损,59.45,54.32,5.130000000000003,0.09444035346097207
R8 Revolver | Reboot,Gamma Case,Restricted,20.49,MW,YOUPIN,,False,Classified,10.0,254.33333333333334,战痕,25.433333333333334,20.49,4.943333333333335,0.2412558971856191
Desert Eagle | Trigger Discipline,Snakebite Case,Restricted,4.0,FT,YOUPIN,,False,Classified,10.0,89.33500000000001,战痕,8.9335,4.0,4.9335,1.233375
UMP-45 | Moonrise,Prisma Case,Restricted,16.78,FN,YOUPIN,,False,Classified,10.0,215.92000000000002,久经,21.592000000000002,16.78,4.812000000000001,0.28676996424314666
MAC-10 | Lapis Gator,Operation Wildfire Case,Mil-Spec,12.2,FN,YOUPIN,,False,Restricted,10.0,167.47,战痕,16.747,12.2,4.547000000000001,0.37270491803278694
Negev | dev_texture,Snakebite Case,Restricted,4.5,MW,BUFF,,False,Classified,10.0,89.33500000000001,久经,8.9335,4.5,4.4335,0.9852222222222223
MAC-10 | Button Masher,Snakebite Case,Restricted,6.06,MW,C5,,False,Classified,10.0,101.885,战痕,10.188500000000001,6.06,4.128500000000002,0.6812706270627066
P250 | Cyber Shell,Snakebite Case,Restricted,21.57,FN,BUFF,,False,Classified,10.0,256.935,破损,25.6935,21.57,4.1235,0.1911682892906815
M4A1-S | Leaded Glass,Spectrum 2 Case,Classified,61.99,FT,BUFF,,False,Covert,10.0,660.75,战痕,66.075,61.99,4.085000000000001,0.06589772543958704
R8 Revolver | Llama Cannon,Spectrum 2 Case,Classified,62.0,FT,BUFF,,False,Covert,10.0,660.75,战痕,66.075,62.0,4.075000000000003,0.06572580645161295
MP9 | Dart,Operation Vanguard Weapon Case,Mil-Spec,12.29,FN,YOUPIN,,False,Restricted,10.0,160.72,久经,16.072,12.29,3.782,0.3077298616761595
Negev | Power Loader,Revolver Case,Restricted,6.29,WW,BUFF,,False,Classified,10.0,92.89,破损,9.289,6.29,2.9989999999999997,0.47678855325914143
Negev | Power Loader,Revolver Case,Restricted,6.58,BS,BUFF,,False,Classified,10.0,95.0,破损,9.5,6.58,2.92,0.44376899696048633
Five-SeveN | Retrobution,Revolver Case,Restricted,6.8,BS,YOUPIN,,False,Classified,10.0,95.0,战痕,9.5,6.8,2.7,0.3970588235294118
PP-Bizon | Fuel Rod,Revolver Case,Restricted,6.8,BS,YOUPIN,,False,Classified,10.0,95.0,战痕,9.5,6.8,2.7,0.3970588235294118
UMP-45 | Scaffold,Spectrum Case,Restricted,15.88,MW,C5,,False,Classified,10.0,184.04333333333332,破损,18.404333333333334,15.88,2.524333333333333,0.15896305625524765
Sawed-Off | Limelight,Gamma Case,Restricted,23.0,MW,BUFF,,False,Classified,10.0,254.33333333333334,战痕,25.433333333333334,23.0,2.4333333333333336,0.10579710144927537
PP-Bizon | Fuel Rod,Revolver Case,Restricted,6.92,WW,C5,,False,Classified,10.0,92.89,战痕,9.289,6.92,2.3689999999999998,0.3423410404624277
SG 553 | Tiger Moth,Revolver Case,Restricted,6.99,WW,YOUPIN,,False,Classified,10.0,92.89,破损,9.289,6.99,2.2989999999999995,0.32889842632331895
AUG | Syd Mead,Gamma 2 Case,Classified,85.9,FT,BUFF,,False,Covert,10.0,881.75,战痕,88.175,85.9,2.2749999999999915,0.02648428405122225
MP9 | Airlock,Gamma 2 Case,Classified,85.9,FT,BUFF,,False,Covert,10.0,881.75,战痕,88.175,85.9,2.2749999999999915,0.02648428405122225
XM1014 | Teclu Burner,Revolver Case,Restricted,9.0,WW,YOUPIN,,False,Classified,10.0,112.66,久经,11.266,9.0,2.266,0.25177777777777777
P250 | Visions,Recoil Case,Classified,33.89,MW,C5,,False,Covert,10.0,358.5,战痕,35.85,33.89,1.9600000000000009,0.05783416937149604
XM1014 | Teclu Burner,Revolver Case,Restricted,7.38,FT,BUFF,,False,Classified,10.0,92.89,久经,9.289,7.38,1.9089999999999998,0.25867208672086717
Five-SeveN | Retrobution,Revolver Case,Restricted,7.4,WW,YOUPIN,,False,Classified,10.0,92.89,战痕,9.289,7.4,1.8889999999999993,0.25527027027027016
Sawed-Off | Kiss♥Love,Recoil Case,Classified,20.9,WW,BUFF,,False,Covert,10.0,226.95,战痕,22.695,20.9,1.7950000000000017,0.08588516746411493
MP9 | Airlock,Gamma 2 Case,Classified,81.99,WW,BUFF,,False,Covert,10.0,836.49,战痕,83.649,81.99,1.659000000000006,0.02023417489937805
SG 553 | Tiger Moth,Revolver Case,Restricted,7.65,FT,YOUPIN,,False,Classified,10.0,92.89,破损,9.289,7.65,1.6389999999999993,0.2142483660130718
P250 | Red Rock,Operation Hydra Case,Restricted,279.0,MW,BUFF,,False,Classified,10.0,2805.6666666666665,战痕,280.56666666666666,279.0,1.5666666666666629,0.0056152927120668925
XM1014 | Teclu Burner,Revolver Case,Restricted,7.99,BS,BUFF,,False,Classified,10.0,95.0,久经,9.5,7.99,1.5099999999999998,0.1889862327909887
Tec-9 | Avalanche,Revolver Case,Restricted,8.0,BS,BUFF,,False,Classified,10.0,95.0,战痕,9.5,8.0,1.5,0.1875
SG 553 | Tiger Moth,Revolver Case,Restricted,8.08,BS,BUFF,,False,Classified,10.0,95.0,破损,9.5,8.08,1.42,0.17574257425742573
PP-Bizon | Fuel Rod,Revolver Case,Restricted,8.29,FT,BUFF,,False,Classified,10.0,92.89,战痕,9.289,8.29,0.9990000000000006,0.12050663449939694
R8 Revolver | Llama Cannon,Spectrum 2 Case,Classified,55.19,BS,BUFF,,False,Covert,10.0,561.53,战痕,56.153,55.19,0.963000000000001,0.017448813190795453
R8 Revolver | Reboot,Gamma Case,Restricted,9.5,FT,BUFF,,False,Classified,10.0,103.83333333333333,战痕,10.383333333333333,9.5,0.8833333333333329,0.09298245614035083
SSG 08 | Necropos,Operation Wildfire Case,Mil-Spec,15.96,FN,YOUPIN,,False,Restricted,10.0,167.47,战痕,16.747,15.96,0.786999999999999,0.049310776942355826
Galil AR | Black Sand,Glove Case,Mil-Spec,5.0,MW,BUFF,,False,Restricted,10.0,57.63333333333333,战痕,5.763333333333334,5.0,0.7633333333333336,0.15266666666666673
P2000 | Turf,Glove Case,Mil-Spec,5.02,MW,C5,,False,Restricted,10.0,57.63333333333333,战痕,5.763333333333334,5.02,0.7433333333333341,0.14807436918990718
AUG | Aristocrat,Gamma Case,Restricted,8.0,BS,BUFF,,False,Classified,10.0,86.245,战痕,8.624500000000001,8.0,0.6245000000000012,0.07806250000000015
R8 Revolver | Reboot,Gamma Case,Restricted,8.68,WW,BUFF,,False,Classified,10.0,92.89666666666666,战痕,9.289666666666665,8.68,0.6096666666666657,0.07023809523809513
SG 553 | Tiger Moth,Revolver Case,Restricted,15.8,MW,BUFF,,False,Classified,10.0,164.0,破损,16.4,15.8,0.5999999999999979,0.03797468354430366
Sawed-Off | Kiss♥Love,Recoil Case,Classified,20.0,BS,BUFF,,False,Covert,10.0,205.89,战痕,20.589,20.0,0.5889999999999986,0.02944999999999993
P2000 | Turf,Glove Case,Mil-Spec,2.5,BS,BUFF,,False,Restricted,10.0,30.19333333333333,战痕,3.019333333333333,2.5,0.519333333333333,0.2077333333333332
Glock-18 | Ironwork,Glove Case,Mil-Spec,5.26,MW,YOUPIN,,False,Restricted,10.0,57.63333333333333,战痕,5.763333333333334,5.26,0.5033333333333339,0.09569074778200264
Dual Berettas | Cartel,Operation Wildfire Case,Mil-Spec,2.22,WW,BUFF,,False,Restricted,10.0,27.0,破损,2.7,2.22,0.48,0.2162162162162162
Sawed-Off | Highwayman,Operation Vanguard Weapon Case,Restricted,7.5,BS,YOUPIN,,False,Classified,10.0,79.75,破损,7.975,7.5,0.47499999999999964,0.06333333333333328
Tec-9 | Jambiya,Operation Wildfire Case,Mil-Spec,2.23,WW,BUFF,,False,Restricted,10.0,27.0,战痕,2.7,2.23,0.4700000000000002,0.2107623318385651
AWP | Atheris,Prisma Case,Restricted,20.0,BS,BUFF,,False,Classified,10.0,204.7,战痕,20.47,20.0,0.46999999999999886,0.023499999999999945
XM1014 | Teclu Burner,Revolver Case,Restricted,15.95,MW,YOUPIN,,False,Classified,10.0,164.0,久经,16.4,15.95,0.4499999999999993,0.028213166144200583
Sawed-Off | Limelight,Gamma Case,Restricted,9.97,FT,C5,,False,Classified,10.0,103.83333333333333,战痕,10.383333333333333,9.97,0.4133333333333322,0.04145770645269129
Tec-9 | Jambiya,Operation Wildfire Case,Mil-Spec,2.0,BS,YOUPIN,,False,Restricted,10.0,24.0,战痕,2.4,2.0,0.3999999999999999,0.19999999999999996
Negev | Man-o'-war,Chroma 2 Case,Mil-Spec,1.62,MW,C5,,False,Restricted,10.0,20.065,久经,2.0065,1.62,0.38649999999999984,0.23858024691358012
Tec-9 | Fuel Injector,Gamma 2 Case,Classified,83.28,WW,C5,,False,Covert,10.0,836.49,战痕,83.649,83.28,0.3689999999999998,0.004430835734870314
MP7 | Cirrus,Glove Case,Mil-Spec,4.42,MW,YOUPIN,,False,Restricted,10.0,47.63333333333333,战痕,4.763333333333334,4.42,0.3433333333333337,0.07767722473604835
P90 | Chopper,Gamma Case,Restricted,9.0,FT,BUFF,,False,Classified,10.0,92.89666666666666,战痕,9.289666666666665,9.0,0.2896666666666654,0.032185185185185046
Negev | Power Loader,Revolver Case,Restricted,9.01,FT,C5,,False,Classified,10.0,92.89,破损,9.289,9.01,0.2789999999999999,0.030965593784683675
Glock-18 | Ironwork,Glove Case,Mil-Spec,3.0,WW,C5,,False,Restricted,10.0,32.776666666666664,战痕,3.2776666666666663,3.0,0.2776666666666663,0.09255555555555543
CZ75-Auto | Polymer,Glove Case,Mil-Spec,4.03,MW,BUFF,,False,Restricted,10.0,43.03333333333333,战痕,4.303333333333333,4.03,0.27333333333333254,0.06782464846980955
R8 Revolver | Grip,Snakebite Case,Mil-Spec,0.58,FT,BUFF,,False,Restricted,10.0,8.382000000000001,战痕,0.8382000000000002,0.58,0.2582000000000002,0.44517241379310385
P90 | Chopper,Gamma Case,Restricted,8.39,BS,BUFF,,False,Classified,10.0,86.245,战痕,8.624500000000001,8.39,0.2345000000000006,0.027949940405244407
Glock-18 | Ironwork,Glove Case,Mil-Spec,2.8,BS,BUFF,,False,Restricted,10.0,30.19333333333333,战痕,3.019333333333333,2.8,0.21933333333333316,0.07833333333333328
R8 Revolver | Grip,Snakebite Case,Mil-Spec,0.48,BS,BUFF,,False,Restricted,10.0,6.956,战痕,0.6956,0.48,0.2156,0.4491666666666667
P2000 | Turf,Glove Case,Mil-Spec,3.08,WW,YOUPIN,,False,Restricted,10.0,32.776666666666664,战痕,3.2776666666666663,3.08,0.1976666666666662,0.06417748917748903
Desert Eagle | Trigger Discipline,Snakebite Case,Restricted,10.0,MW,YOUPIN,,False,Classified,10.0,101.885,战痕,10.188500000000001,10.0,0.18850000000000122,0.018850000000000124
R8 Revolver | Grip,Snakebite Case,Mil-Spec,1.25,MW,YOUPIN,,False,Restricted,10.0,14.302000000000001,战痕,1.4302000000000001,1.25,0.18020000000000014,0.14416000000000012
R8 Revolver | Grip,Snakebite Case,Mil-Spec,0.55,WW,C5,,False,Restricted,10.0,7.192,战痕,0.7192000000000001,0.55,0.16920000000000002,0.30763636363636365
M4A1-S | Leaded Glass,Spectrum 2 Case,Classified,55.99,BS,BUFF,,False,Covert,10.0,561.53,战痕,56.153,55.99,0.1629999999999967,0.0029112341489551117
Galil AR | Black Sand,Glove Case,Mil-Spec,3.12,WW,YOUPIN,,False,Restricted,10.0,32.776666666666664,战痕,3.2776666666666663,3.12,0.15766666666666618,0.050534188034187875
MP7 | Cirrus,Glove Case,Mil-Spec,3.18,FT,BUFF,,False,Restricted,10.0,33.193333333333335,战痕,3.3193333333333337,3.18,0.13933333333333353,0.04381551362683444
Galil AR | Black Sand,Glove Case,Mil-Spec,2.89,BS,YOUPIN,,False,Restricted,10.0,30.19333333333333,战痕,3.019333333333333,2.89,0.12933333333333286,0.044752018454440434
SSG 08 | Necropos,Operation Wildfire Case,Mil-Spec,2.58,WW,BUFF,,False,Restricted,10.0,27.0,战痕,2.7,2.58,0.1200000000000001,0.046511627906976785
PP-Bizon | Photic Zone,Operation Wildfire Case,Mil-Spec,2.3,BS,BUFF,,False,Restricted,10.0,24.0,战痕,2.4,2.3,0.10000000000000009,0.04347826086956526
